x,n_threshold
576.0,611
577.0,612
578.0,613
579.0,614
580.0,615
581.0,616
582.0,617
583.0,618
584.0,619
585.0,620
586.0,621
587.0,622
588.0,623
589.0,624
590.0,625
591.0,626
592.0,627
593.0,628
594.0,629
595.0,630
596.0,631
597.0,632
598.0,633
599.0,634
600.0,635
601.0,636
602.0,637
603.0,638
604.0,639
605.0,641
606.0,642
607.0,643
608.0,644
609.0,645
610.0,646
611.0,647
612.0,648
613.0,649
614.0,650
615.0,651
616.0,652
617.0,653
618.0,654
619.0,655
620.0,656
621.0,657
622.0,658
623.0,659
624.0,660
625.0,661
626.0,662
627.0,663
628.0,664
629.0,665
630.0,666
631.0,667
632.0,668
633.0,669
634.0,670
635.0,671
636.0,672
637.0,673
638.0,674
639.0,675
640.0,676
641.0,677
642.0,678
643.0,679
644.0,680
645.0,681
646.0,682
647.0,683
648.0,684
649.0,685
650.0,686
651.0,687
652.0,688
653.0,689
654.0,690
655.0,691
656.0,692
657.0,693
658.0,694
659.0,695
660.0,696
661.0,697
662.0,698
663.0,699
664.0,701
665.0,702
666.0,703
667.0,704
668.0,705
669.0,706
670.0,707
671.0,708
672.0,709
673.0,710
674.0,711
675.0,712
676.0,713
677.0,714
678.0,715
679.0,716
680.0,717
681.0,718
682.0,719
683.0,720
684.0,721
685.0,722
686.0,723
687.0,724
688.0,725
689.0,726
690.0,727
691.0,728
692.0,729
693.0,730
694.0,731
695.0,732
696.0,733
697.0,734
698.0,735
699.0,736
700.0,737
701.0,738
702.0,739
703.0,740
704.0,741
705.0,742
706.0,743
707.0,744
708.0,745
709.0,746
710.0,747
711.0,748
712.0,749
713.0,750
714.0,751
715.0,752
716.0,753
717.0,754
718.0,755
719.0,756
720.0,757
721.0,758
722.0,759
723.0,760
724.0,761
725.0,762
726.0,764
727.0,765
728.0,766
729.0,767
730.0,768
731.0,769
732.0,770
733.0,771
734.0,772
735.0,773
736.0,774
737.0,775
738.0,776
739.0,777
740.0,778
741.0,779
742.0,780
743.0,781
744.0,782
745.0,783
746.0,784
747.0,785
748.0,786
749.0,787
750.0,788
751.0,789
752.0,790
753.0,791
754.0,792
755.0,793
756.0,794
757.0,795
758.0,796
759.0,797
760.0,798
761.0,799
762.0,800
763.0,801
764.0,802
765.0,803
766.0,804
767.0,805
768.0,806
769.0,807
770.0,808
771.0,809
772.0,810
773.0,811
774.0,812
775.0,813
776.0,814
777.0,815
778.0,816
779.0,817
780.0,818
781.0,819
782.0,820
783.0,821
784.0,822
785.0,823
786.0,824
787.0,825
788.0,826
789.0,827
790.0,828
791.0,829
792.0,830
793.0,832
794.0,833
795.0,834
796.0,835
797.0,836
798.0,837
799.0,838
800.0,839
801.0,840
802.0,841
803.0,842
804.0,843
805.0,844
806.0,845
807.0,846
808.0,847
809.0,848
810.0,849
811.0,850
812.0,851
813.0,852
814.0,853
815.0,854
816.0,855
817.0,856
818.0,857
819.0,858
820.0,859
821.0,860
822.0,861
823.0,862
824.0,863
825.0,864
826.0,865
827.0,866
828.0,867
829.0,868
830.0,869
831.0,870
832.0,871
833.0,872
834.0,873
835.0,874
836.0,875
837.0,876
838.0,877
839.0,878
840.0,879
841.0,880
842.0,881
843.0,882
844.0,883
845.0,884
846.0,885
847.0,886
848.0,887
849.0,888
850.0,889
851.0,890
852.0,891
853.0,892
854.0,893
855.0,894
856.0,895
857.0,896
858.0,897
859.0,898
860.0,899
861.0,900
862.0,901
863.0,903
864.0,904
865.0,905
866.0,906
867.0,907
868.0,908
869.0,909
870.0,910
871.0,911
872.0,912
873.0,913
874.0,914
875.0,915
876.0,916
877.0,917
878.0,918
879.0,919
880.0,920
881.0,921
882.0,922
883.0,923
884.0,924
885.0,925
886.0,926
887.0,927
888.0,928
889.0,929
890.0,930
891.0,931
892.0,932
893.0,933
894.0,934
895.0,935
896.0,936
897.0,937
898.0,938
899.0,939
900.0,940
901.0,941
902.0,942
903.0,943
904.0,944
905.0,945
906.0,946
907.0,947
908.0,948
909.0,949
910.0,950
911.0,951
912.0,952
913.0,953
914.0,954
915.0,955
916.0,956
917.0,957
918.0,958
919.0,959
920.0,960
921.0,961
922.0,962
923.0,963
924.0,964
925.0,965
926.0,966
927.0,967
928.0,968
929.0,969
930.0,970
931.0,971
932.0,972
933.0,973
934.0,974
935.0,975
936.0,976
937.0,977
938.0,979
939.0,980
940.0,981
941.0,982
942.0,983
943.0,984
944.0,985
945.0,986
946.0,987
947.0,988
948.0,989
949.0,990
950.0,991
951.0,992
952.0,993
953.0,994
954.0,995
955.0,996
956.0,997
957.0,998
958.0,999
959.0,1000
960.0,1001
961.0,1002
962.0,1003
963.0,1004
964.0,1005
965.0,1006
966.0,1007
967.0,1008
968.0,1009
969.0,1010
970.0,1011
971.0,1012
972.0,1013
973.0,1014
974.0,1015
975.0,1016
976.0,1017
977.0,1018
978.0,1019
979.0,1020
980.0,1021
981.0,1022
982.0,1023
983.0,1024
984.0,1025
985.0,1026
986.0,1027
987.0,1028
988.0,1029
989.0,1030
990.0,1031
991.0,1032
992.0,1033
993.0,1034
994.0,1035
995.0,1036
996.0,1037
997.0,1038
998.0,1039
999.0,1040
1000.0,1041
1500.0,1547
2000.0,2051
2500.0,2554
3000.0,3057
3500.0,3560
4000.0,4063
4500.0,4565
5000.0,5067
5500.0,5569
6000.0,6071
6500.0,6573
7000.0,7074
7500.0,7576
8000.0,8077
8500.0,8579
9000.0,9080
9500.0,9581
10000.0,10083
10500.0,10584
11000.0,11085
11500.0,11586
12000.0,12087
12500.0,12588
13000.0,13089
13500.0,13590
14000.0,14091
14500.0,14592
15000.0,15093
15500.0,15594
16000.0,16095
16500.0,16596
17000.0,17097
17500.0,17598
18000.0,18098
18500.0,18599
19000.0,19100
19500.0,19601
20000.0,20102
20500.0,20602
21000.0,21103
21500.0,21604
22000.0,22105
22500.0,22605
23000.0,23106
23500.0,23607
24000.0,24107
24500.0,24608
25000.0,25109
25500.0,25609
26000.0,26110
26500.0,26611
27000.0,27111
27500.0,27612
28000.0,28112
28500.0,28613
29000.0,29114
29500.0,29614
30000.0,30115
30500.0,30615
31000.0,31116
31500.0,31616
32000.0,32117
32500.0,32618
33000.0,33118
33500.0,33619
34000.0,34119
34500.0,34620
35000.0,35120
35500.0,35621
36000.0,36121
36500.0,36622
37000.0,37122
37500.0,37623
38000.0,38123
38500.0,38624
39000.0,39124
39500.0,39625
40000.0,40125
40500.0,40626
41000.0,41126
41500.0,41626
42000.0,42127
42500.0,42627
43000.0,43128
43500.0,43628
44000.0,44129
44500.0,44629
45000.0,45130
45500.0,45630
46000.0,46130
46500.0,46631
47000.0,47131
47500.0,47632
48000.0,48132
48500.0,48633
49000.0,49133
49500.0,49633
50000.0,50134
50500.0,50634
51000.0,51135
51500.0,51635
52000.0,52135
52500.0,52636
53000.0,53136
53500.0,53636
54000.0,54137
54500.0,54637
55000.0,55138
55500.0,55638
56000.0,56138
56500.0,56639
57000.0,57139
57500.0,57639
58000.0,58140
58500.0,58640
59000.0,59140
59500.0,59641
60000.0,60141
60500.0,60642
61000.0,61142
61500.0,61642
62000.0,62143
62500.0,62643
63000.0,63143
63500.0,63644
64000.0,64144
64500.0,64644
65000.0,65145
65500.0,65645
66000.0,66145
66500.0,66646
67000.0,67146
67500.0,67646
68000.0,68147
68500.0,68647
69000.0,69147
69500.0,69648
70000.0,70148
70500.0,70648
71000.0,71148
71500.0,71649
72000.0,72149
72500.0,72649
73000.0,73150
73500.0,73650
74000.0,74150
74500.0,74651
75000.0,75151
75500.0,75651
76000.0,76152
76500.0,76652
77000.0,77152
77500.0,77652
78000.0,78153
78500.0,78653
79000.0,79153
79500.0,79654
80000.0,80154
80500.0,80654
81000.0,81154
81500.0,81655
82000.0,82155
82500.0,82655
83000.0,83156
83500.0,83656
84000.0,84156
84500.0,84656
85000.0,85157
85500.0,85657
86000.0,86157
86500.0,86657
87000.0,87158
87500.0,87658
88000.0,88158
88500.0,88659
89000.0,89159
89500.0,89659
90000.0,90159
90500.0,90660
91000.0,91160
91500.0,91660
92000.0,92160
92500.0,92661
93000.0,93161
93500.0,93661
94000.0,94161
94500.0,94662
95000.0,95162
95500.0,95662
96000.0,96162
96500.0,96663
97000.0,97163
97500.0,97663
98000.0,98163
98500.0,98664
99000.0,99164
99500.0,99664
100000.0,100164
100500.0,100665
101000.0,101165
101500.0,101665
102000.0,102165
102500.0,102666
103000.0,103166
103500.0,103666
104000.0,104166
104500.0,104667
105000.0,105167
105500.0,105667
106000.0,106167
106500.0,106668
107000.0,107168
107500.0,107668
108000.0,108168
108500.0,108668
109000.0,109169
109500.0,109669
110000.0,110169
110500.0,110669
111000.0,111170
111500.0,111670
112000.0,112170
112500.0,112670
113000.0,113171
113500.0,113671
114000.0,114171
114500.0,114671
115000.0,115171
115500.0,115672
116000.0,116172
116500.0,116672
117000.0,117172
117500.0,117673
118000.0,118173
118500.0,118673
119000.0,119173
119500.0,119673
120000.0,120174
120500.0,120674
121000.0,121174
121500.0,121674
122000.0,122174
122500.0,122675
123000.0,123175
123500.0,123675
124000.0,124175
124500.0,124676
125000.0,125176
125500.0,125676
126000.0,126176
126500.0,126676
127000.0,127177
127500.0,127677
128000.0,128177
128500.0,128677
129000.0,129177
129500.0,129678
130000.0,130178
130500.0,130678
131000.0,131178
131500.0,131678
132000.0,132179
132500.0,132679
133000.0,133179
133500.0,133679
134000.0,134179
134500.0,134680
135000.0,135180
135500.0,135680
136000.0,136180
136500.0,136680
137000.0,137181
137500.0,137681
138000.0,138181
138500.0,138681
139000.0,139181
139500.0,139682
140000.0,140182
140500.0,140682
141000.0,141182
141500.0,141682
142000.0,142183
142500.0,142683
143000.0,143183
143500.0,143683
144000.0,144183
144500.0,144683
145000.0,145184
145500.0,145684
146000.0,146184
146500.0,146684
147000.0,147184
147500.0,147685
148000.0,148185
148500.0,148685
149000.0,149185
149500.0,149685
150000.0,150186
150500.0,150686
151000.0,151186
151500.0,151686
152000.0,152186
152500.0,152686
153000.0,153187
153500.0,153687
154000.0,154187
154500.0,154687
155000.0,155187
155500.0,155688
156000.0,156188
156500.0,156688
157000.0,157188
157500.0,157688
158000.0,158188
158500.0,158689
159000.0,159189
159500.0,159689
160000.0,160189
160500.0,160689
161000.0,161189
161500.0,161690
162000.0,162190
162500.0,162690
163000.0,163190
163500.0,163690
164000.0,164190
164500.0,164691
165000.0,165191
165500.0,165691
166000.0,166191
166500.0,166691
167000.0,167192
167500.0,167692
168000.0,168192
168500.0,168692
169000.0,169192
169500.0,169692
170000.0,170193
170500.0,170693
171000.0,171193
171500.0,171693
172000.0,172193
172500.0,172693
173000.0,173194
173500.0,173694
174000.0,174194
174500.0,174694
175000.0,175194
175500.0,175694
176000.0,176195
176500.0,176695
177000.0,177195
177500.0,177695
178000.0,178195
178500.0,178695
179000.0,179196
179500.0,179696
180000.0,180196
180500.0,180696
181000.0,181196
181500.0,181696
182000.0,182196
182500.0,182697
183000.0,183197
183500.0,183697
184000.0,184197
184500.0,184697
185000.0,185197
185500.0,185698
186000.0,186198
186500.0,186698
187000.0,187198
187500.0,187698
188000.0,188198
188500.0,188699
189000.0,189199
189500.0,189699
190000.0,190199
190500.0,190699
191000.0,191199
191500.0,191699
192000.0,192200
192500.0,192700
193000.0,193200
193500.0,193700
194000.0,194200
194500.0,194700
195000.0,195201
195500.0,195701
196000.0,196201
196500.0,196701
197000.0,197201
197500.0,197701
198000.0,198201
198500.0,198702
199000.0,199202
199500.0,199702
200000.0,200202
200500.0,200702
201000.0,201202
201500.0,201702
202000.0,202203
202500.0,202703
203000.0,203203
203500.0,203703
204000.0,204203
204500.0,204703
205000.0,205204
205500.0,205704
206000.0,206204
206500.0,206704
207000.0,207204
207500.0,207704
208000.0,208204
208500.0,208705
209000.0,209205
209500.0,209705
210000.0,210205
210500.0,210705
211000.0,211205
211500.0,211705
212000.0,212206
212500.0,212706
213000.0,213206
213500.0,213706
214000.0,214206
214500.0,214706
215000.0,215206
215500.0,215707
216000.0,216207
216500.0,216707
217000.0,217207
217500.0,217707
218000.0,218207
218500.0,218707
219000.0,219208
219500.0,219708
220000.0,220208
220500.0,220708
221000.0,221208
221500.0,221708
222000.0,222208
222500.0,222709
223000.0,223209
223500.0,223709
224000.0,224209
224500.0,224709
225000.0,225209
225500.0,225709
226000.0,226210
226500.0,226710
227000.0,227210
227500.0,227710
228000.0,228210
228500.0,228710
229000.0,229210
229500.0,229710
230000.0,230211
230500.0,230711
231000.0,231211
231500.0,231711
232000.0,232211
232500.0,232711
233000.0,233211
233500.0,233712
234000.0,234212
234500.0,234712
235000.0,235212
235500.0,235712
236000.0,236212
236500.0,236712
237000.0,237212
237500.0,237713
238000.0,238213
238500.0,238713
239000.0,239213
239500.0,239713
240000.0,240213
240500.0,240713
241000.0,241214
241500.0,241714
242000.0,242214
242500.0,242714
243000.0,243214
243500.0,243714
244000.0,244214
244500.0,244714
245000.0,245215
245500.0,245715
246000.0,246215
246500.0,246715
247000.0,247215
247500.0,247715
248000.0,248215
248500.0,248715
249000.0,249216
249500.0,249716
250000.0,250216
250500.0,250716
251000.0,251216
251500.0,251716
252000.0,252216
252500.0,252717
253000.0,253217
253500.0,253717
254000.0,254217
254500.0,254717
255000.0,255217
255500.0,255717
256000.0,256217
256500.0,256718
257000.0,257218
257500.0,257718
258000.0,258218
258500.0,258718
259000.0,259218
259500.0,259718
260000.0,260218
260500.0,260719
261000.0,261219
261500.0,261719
262000.0,262219
262500.0,262719
263000.0,263219
263500.0,263719
264000.0,264219
264500.0,264720
265000.0,265220
265500.0,265720
266000.0,266220
266500.0,266720
267000.0,267220
267500.0,267720
268000.0,268220
268500.0,268720
269000.0,269221
269500.0,269721
270000.0,270221
270500.0,270721
271000.0,271221
271500.0,271721
272000.0,272221
272500.0,272721
273000.0,273222
273500.0,273722
274000.0,274222
274500.0,274722
275000.0,275222
275500.0,275722
276000.0,276222
276500.0,276722
277000.0,277223
277500.0,277723
278000.0,278223
278500.0,278723
279000.0,279223
279500.0,279723
280000.0,280223
280500.0,280723
281000.0,281223
281500.0,281724
282000.0,282224
282500.0,282724
283000.0,283224
283500.0,283724
284000.0,284224
284500.0,284724
285000.0,285224
285500.0,285725
286000.0,286225
286500.0,286725
287000.0,287225
287500.0,287725
288000.0,288225
288500.0,288725
289000.0,289225
289500.0,289725
290000.0,290226
290500.0,290726
291000.0,291226
291500.0,291726
292000.0,292226
292500.0,292726
293000.0,293226
293500.0,293726
294000.0,294226
294500.0,294727
295000.0,295227
295500.0,295727
296000.0,296227
296500.0,296727
297000.0,297227
297500.0,297727
298000.0,298227
298500.0,298728
299000.0,299228
299500.0,299728
300000.0,300228
300500.0,300728
301000.0,301228
301500.0,301728
302000.0,302228
302500.0,302728
303000.0,303229
303500.0,303729
304000.0,304229
304500.0,304729
305000.0,305229
305500.0,305729
306000.0,306229
306500.0,306729
307000.0,307229
307500.0,307730
308000.0,308230
308500.0,308730
309000.0,309230
309500.0,309730
310000.0,310230
310500.0,310730
311000.0,311230
311500.0,311730
312000.0,312231
312500.0,312731
313000.0,313231
313500.0,313731
314000.0,314231
314500.0,314731
315000.0,315231
315500.0,315731
316000.0,316231
316500.0,316731
317000.0,317232
317500.0,317732
318000.0,318232
318500.0,318732
319000.0,319232
319500.0,319732
320000.0,320232
320500.0,320732
321000.0,321232
321500.0,321733
322000.0,322233
322500.0,322733
323000.0,323233
323500.0,323733
324000.0,324233
324500.0,324733
325000.0,325233
325500.0,325733
326000.0,326234
326500.0,326734
327000.0,327234
327500.0,327734
328000.0,328234
328500.0,328734
329000.0,329234
329500.0,329734
330000.0,330234
330500.0,330734
331000.0,331235
331500.0,331735
332000.0,332235
332500.0,332735
333000.0,333235
333500.0,333735
334000.0,334235
334500.0,334735
335000.0,335235
335500.0,335736
336000.0,336236
336500.0,336736
337000.0,337236
337500.0,337736
338000.0,338236
338500.0,338736
339000.0,339236
339500.0,339736
340000.0,340236
340500.0,340737
341000.0,341237
341500.0,341737
342000.0,342237
342500.0,342737
343000.0,343237
343500.0,343737
344000.0,344237
344500.0,344737
345000.0,345237
345500.0,345738
346000.0,346238
346500.0,346738
347000.0,347238
347500.0,347738
348000.0,348238
348500.0,348738
349000.0,349238
349500.0,349738
350000.0,350238
350500.0,350739
351000.0,351239
351500.0,351739
352000.0,352239
352500.0,352739
353000.0,353239
353500.0,353739
354000.0,354239
354500.0,354739
355000.0,355239
355500.0,355740
356000.0,356240
356500.0,356740
357000.0,357240
357500.0,357740
358000.0,358240
358500.0,358740
359000.0,359240
359500.0,359740
360000.0,360240
360500.0,360741
361000.0,361241
361500.0,361741
362000.0,362241
362500.0,362741
363000.0,363241
363500.0,363741
364000.0,364241
364500.0,364741
365000.0,365241
365500.0,365742
366000.0,366242
366500.0,366742
367000.0,367242
367500.0,367742
368000.0,368242
368500.0,368742
369000.0,369242
369500.0,369742
370000.0,370242
370500.0,370743
371000.0,371243
371500.0,371743
372000.0,372243
372500.0,372743
373000.0,373243
373500.0,373743
374000.0,374243
374500.0,374743
375000.0,375243
375500.0,375743
376000.0,376244
376500.0,376744
377000.0,377244
377500.0,377744
378000.0,378244
378500.0,378744
379000.0,379244
379500.0,379744
380000.0,380244
380500.0,380744
381000.0,381245
381500.0,381745
382000.0,382245
382500.0,382745
383000.0,383245
383500.0,383745
384000.0,384245
384500.0,384745
385000.0,385245
385500.0,385745
386000.0,386245
386500.0,386746
387000.0,387246
387500.0,387746
388000.0,388246
388500.0,388746
389000.0,389246
389500.0,389746
390000.0,390246
390500.0,390746
391000.0,391246
391500.0,391747
392000.0,392247
392500.0,392747
393000.0,393247
393500.0,393747
394000.0,394247
394500.0,394747
395000.0,395247
395500.0,395747
396000.0,396247
396500.0,396747
397000.0,397248
397500.0,397748
398000.0,398248
398500.0,398748
399000.0,399248
399500.0,399748
